Sales,CompPrice,Income,Advertising,Population,ShelveLoc,Age,Education,Urban,US
5.04,123,114,0,298,Bad,34,16,Yes,No
6.85,143,81,5,60,Medium,61,18,Yes,Yes
5.68,113,22,1,317,Medium,28,12,Yes,No
11.48,121,120,13,140,Medium,56,11,Yes,Yes
10.71,109,22,10,348,Good,74,14,No,Yes
0.16,102,33,0,217,Medium,70,18,No,No
3.02,98,21,11,326,Bad,76,11,No,Yes
5.3,113,22,0,57,Medium,65,16,No,No
11.07,131,84,11,29,Medium,44,17,No,Yes
5.07,123,91,0,334,Bad,78,17,Yes,Yes
8.67,125,62,14,477,Medium,80,13,Yes,Yes
9.45,107,67,12,430,Medium,35,12,No,Yes
8.7,150,84,9,432,Medium,64,15,Yes,No
8.64,111,101,17,266,Medium,63,17,No,Yes
6.18,120,70,15,464,Medium,72,15,Yes,Yes
6.67,156,42,13,170,Good,74,14,Yes,Yes
5.93,150,36,7,488,Medium,25,17,No,Yes
8.85,127,92,0,508,Medium,56,18,Yes,No
5.64,124,24,5,288,Medium,57,12,No,Yes
7.67,129,117,8,400,Bad,36,10,Yes,Yes
6.14,139,23,3,37,Medium,55,11,No,Yes
5.87,121,31,0,292,Medium,79,10,Yes,No
13.36,103,73,3,276,Medium,34,15,Yes,Yes
0.37,147,58,7,100,Bad,27,15,Yes,Yes
15.63,122,36,5,369,Good,35,10,Yes,Yes
7.58,118,32,0,284,Good,63,13,Yes,No
8.41,94,84,13,497,Medium,51,12,Yes,Yes
6.95,128,29,5,324,Good,31,15,Yes,Yes
8.25,136,58,16,241,Medium,44,18,Yes,Yes
7.45,161,82,5,287,Bad,33,16,Yes,Yes
6.5,108,69,3,208,Medium,77,16,Yes,No
10.06,113,35,10,269,Medium,59,12,Yes,Yes
4.43,134,48,1,139,Medium,65,12,Yes,Yes
6.2,150,68,5,125,Medium,64,13,No,Yes
3.98,122,35,2,393,Medium,62,18,Yes,No
5.32,152,116,0,170,Medium,39,16,Yes,No
7.99,127,59,0,339,Medium,65,12,Yes,No
9.71,134,37,0,27,Good,49,16,Yes,Yes
3.91,116,52,0,349,Bad,69,18,Yes,No
10.98,148,63,0,312,Good,63,15,Yes,No
5.81,125,111,0,404,Bad,54,15,Yes,No
14.37,95,106,0,256,Good,52,17,Yes,No
2.07,119,98,0,18,Bad,73,17,No,No
7.96,157,53,0,403,Bad,58,16,Yes,No
4.95,121,41,5,412,Medium,54,10,Yes,Yes
4.17,123,96,10,71,Bad,69,11,Yes,Yes
10.59,131,120,15,262,Medium,30,10,Yes,Yes
7.22,135,93,2,67,Medium,34,11,Yes,Yes
12.57,132,102,20,459,Good,49,11,Yes,Yes
6.67,107,119,11,210,Medium,53,11,Yes,Yes
2.86,121,86,10,496,Bad,51,10,Yes,Yes
8.65,123,76,18,218,Medium,29,14,No,Yes
10.5,122,21,16,488,Good,30,14,Yes,Yes
9.48,147,42,10,407,Good,73,16,No,Yes
4.95,121,28,19,315,Medium,66,14,Yes,Yes
11.82,113,66,16,322,Good,76,15,Yes,Yes
3.47,107,79,2,488,Bad,65,16,Yes,No
8.89,122,76,0,270,Good,60,18,No,No
9.16,140,50,10,300,Good,60,15,Yes,Yes
8.86,145,30,0,67,Medium,55,17,Yes,No
7.68,126,41,22,403,Bad,42,12,Yes,Yes
4.53,114,113,0,97,Medium,29,12,Yes,No
4.21,118,35,14,502,Medium,79,10,No,Yes
6.2,128,93,0,89,Medium,34,18,Yes,No
4.81,121,68,0,279,Good,79,12,Yes,No
4.36,125,41,2,357,Bad,47,14,No,Yes
4.42,121,90,0,150,Bad,75,16,Yes,No
9.95,132,33,7,35,Medium,60,11,No,Yes
2.23,111,25,0,52,Bad,43,18,No,No
7.8,121,50,0,508,Medium,65,11,No,No
9.24,126,80,19,436,Medium,52,10,Yes,Yes
8.98,115,65,0,217,Medium,60,17,No,No
5.42,103,93,15,188,Bad,74,16,Yes,Yes
8.75,143,77,25,448,Medium,43,17,Yes,Yes
7.49,146,34,0,220,Good,51,16,Yes,No
7.8,119,33,0,245,Good,56,14,Yes,No
6.2,107,32,12,236,Good,64,10,No,Yes
10.01,133,52,16,290,Medium,43,11,Yes,Yes
5.25,131,55,0,26,Bad,79,12,Yes,Yes
7.95,128,66,3,493,Medium,45,16,No,No
5.98,124,56,11,447,Medium,53,12,No,Yes
5.21,118,71,4,148,Medium,80,13,Yes,No
9.1,128,93,12,343,Good,73,17,No,Yes
13.28,139,70,7,71,Good,61,10,Yes,Yes
9.32,134,27,18,467,Medium,49,14,No,Yes
4.81,97,46,11,267,Medium,80,15,Yes,Yes
2.99,103,74,0,359,Bad,55,11,Yes,Yes
5.94,100,79,7,284,Bad,50,12,Yes,Yes
5.58,134,25,10,237,Medium,59,13,Yes,Yes
8.09,132,69,0,123,Medium,27,11,No,No
7.36,121,24,0,200,Good,73,13,Yes,No
6.03,117,32,0,142,Bad,62,17,Yes,No
8.01,128,39,12,356,Medium,71,10,Yes,Yes
13.39,149,69,20,366,Good,60,13,Yes,Yes
9.7,138,61,12,156,Medium,25,14,Yes,Yes
8.31,133,97,0,70,Medium,32,16,Yes,No
5.35,130,58,19,366,Bad,33,16,Yes,Yes
8.71,149,95,5,400,Medium,76,18,No,No
7.7,118,71,12,44,Medium,67,18,No,Yes
6.5,148,51,16,148,Medium,58,17,No,Yes
5.57,109,51,10,26,Medium,30,17,No,Yes
10.31,159,80,0,362,Medium,26,18,Yes,No
3.13,130,62,11,396,Bad,66,14,Yes,Yes
7.9,132,46,4,206,Medium,73,11,Yes,No
3.47,108,38,0,251,Bad,72,14,No,No
6.98,116,40,0,74,Medium,76,15,No,No
5.74,106,33,20,354,Medium,61,12,Yes,Yes
6.41,125,90,2,367,Medium,35,18,Yes,Yes
5.68,130,64,0,40,Bad,39,17,No,No
6.53,154,30,0,122,Medium,57,17,No,No
2.52,124,61,0,333,Medium,76,16,Yes,No
8.47,119,88,10,170,Medium,61,13,Yes,Yes
0,139,24,0,358,Medium,79,15,No,No
10.48,138,72,0,148,Medium,27,17,Yes,Yes
9.16,137,105,10,435,Good,72,14,Yes,Yes
12.49,93,106,12,416,Medium,75,15,Yes,Yes
9.53,175,65,29,419,Medium,53,12,Yes,Yes
6.56,117,42,7,144,Medium,62,10,Yes,Yes
4.97,162,67,0,27,Medium,77,17,Yes,Yes
0.91,93,91,0,22,Bad,75,11,Yes,No
8.54,139,35,0,95,Medium,42,13,Yes,No
2.67,115,54,0,406,Medium,42,17,Yes,Yes
5.28,108,77,13,388,Bad,74,14,Yes,Yes
4.42,109,36,7,468,Bad,56,11,Yes,Yes
7.02,130,100,0,306,Good,42,11,Yes,No
5.94,138,83,0,139,Medium,54,18,Yes,No
6.11,133,88,3,105,Medium,79,12,Yes,Yes
7.41,162,26,12,368,Medium,40,18,Yes,Yes
12.53,142,90,1,189,Good,39,10,No,Yes
8.77,118,86,7,265,Good,52,15,No,Yes
8.69,113,64,10,68,Medium,57,16,Yes,Yes
1.42,99,32,18,341,Bad,80,16,Yes,Yes
3.42,141,57,13,376,Medium,64,18,Yes,Yes
3.45,110,45,9,276,Medium,62,14,Yes,Yes
6.39,131,21,8,220,Good,29,14,Yes,Yes
3.15,117,66,1,65,Bad,55,11,Yes,Yes
7.57,112,88,2,243,Medium,62,11,Yes,Yes
9.08,152,81,0,191,Medium,54,16,Yes,No
6.71,119,67,17,151,Medium,55,11,Yes,Yes
5.16,115,60,0,119,Bad,38,14,No,No
4.1,134,82,0,464,Medium,48,13,No,No
4.69,133,30,0,152,Medium,53,17,Yes,No
3.24,130,60,0,144,Bad,38,10,No,No
12.66,148,76,3,126,Good,60,11,Yes,Yes
7.22,114,113,2,129,Good,40,15,No,Yes
9.58,108,104,23,353,Good,37,17,Yes,Yes
11.93,123,98,12,408,Good,29,10,Yes,Yes
4.9,122,26,0,197,Medium,55,13,No,No
6.43,124,44,0,125,Medium,80,11,Yes,No
7.6,146,26,11,261,Medium,39,10,Yes,Yes
12.98,113,33,0,14,Good,38,12,Yes,No
7.78,86,54,0,497,Bad,33,12,Yes,No
5.56,144,92,0,349,Medium,62,12,No,No
12.11,118,117,18,509,Medium,26,15,No,Yes
7.56,110,119,0,384,Medium,72,14,No,Yes
5.32,118,74,6,426,Medium,80,18,Yes,Yes
10.96,115,28,11,29,Good,53,18,Yes,Yes
9.01,126,61,14,152,Medium,47,16,Yes,Yes
6.01,131,29,11,335,Bad,33,12,Yes,Yes
11.27,100,54,9,433,Good,45,12,Yes,Yes
3.9,114,83,0,412,Bad,39,14,Yes,No
6.15,146,68,12,328,Bad,51,14,Yes,Yes
11.19,98,104,0,404,Medium,27,18,No,No
4.68,124,46,0,199,Medium,52,14,No,No
5.05,125,67,0,86,Bad,65,11,Yes,No
3.58,142,109,0,111,Good,72,12,Yes,No
8.47,125,103,0,304,Medium,49,13,No,No
6.63,115,105,0,45,Medium,71,15,Yes,No
9.62,151,28,8,499,Medium,48,10,Yes,Yes
7.49,136,119,6,178,Medium,35,13,Yes,Yes
9.39,117,118,14,445,Medium,32,15,Yes,Yes
11.27,153,68,2,60,Good,59,16,Yes,Yes
8.73,129,76,16,58,Medium,69,12,Yes,Yes
5.71,121,42,4,188,Medium,54,15,Yes,Yes
13.55,125,94,0,447,Good,30,12,Yes,No
7.78,144,25,3,70,Medium,77,18,Yes,Yes
6.67,116,99,5,298,Good,62,12,Yes,Yes
12.49,122,77,24,382,Good,36,16,No,Yes
4.69,132,113,0,131,Medium,76,17,No,Yes
6.89,129,69,10,289,Medium,50,16,No,Yes
3.72,139,111,5,310,Bad,62,13,Yes,Yes
3.89,123,105,0,149,Bad,62,16,Yes,Yes
6.9,120,56,20,266,Bad,78,18,Yes,Yes
10,114,43,0,199,Good,57,10,No,Yes
4.47,143,120,7,279,Bad,40,10,No,Yes
6.37,120,77,15,86,Medium,48,18,Yes,Yes
8.33,107,115,11,496,Good,50,11,No,Yes
5.36,135,110,0,112,Medium,80,16,No,No
6.54,132,110,0,108,Medium,76,10,No,No
9.03,104,102,13,123,Good,35,16,Yes,Yes
7.77,116,26,6,434,Medium,25,17,Yes,Yes
10.07,130,100,11,449,Medium,64,10,Yes,Yes
6.88,119,100,5,45,Medium,75,10,Yes,Yes
8.78,130,30,0,391,Medium,26,18,Yes,No
4.12,123,42,11,16,Medium,59,13,Yes,Yes
7.23,112,98,18,481,Medium,45,11,Yes,Yes
5.33,115,22,0,491,Medium,64,11,No,No
5.53,126,32,8,95,Medium,50,17,Yes,Yes
4.56,141,63,0,168,Bad,44,12,Yes,Yes
7.52,116,72,0,237,Good,70,13,Yes,No
7.44,124,84,0,300,Medium,77,15,Yes,No
4.88,121,47,3,220,Bad,56,16,No,Yes
8.57,116,78,1,158,Medium,45,11,Yes,Yes
8.67,142,73,14,238,Medium,73,14,No,Yes
3.67,132,31,0,327,Medium,76,16,Yes,No
4.1,121,78,4,413,Bad,46,10,No,Yes
12.57,138,108,17,203,Good,33,14,Yes,Yes
1.82,139,45,0,146,Bad,77,17,Yes,Yes
8.07,116,37,0,426,Medium,76,15,Yes,No
2.66,136,65,4,133,Bad,53,13,Yes,Yes
4.99,122,59,0,501,Bad,32,14,No,No
7.82,124,25,13,87,Medium,57,10,Yes,Yes
12.04,145,69,19,501,Medium,45,11,Yes,Yes
8.87,131,113,0,181,Good,63,14,Yes,No
5.17,131,75,0,10,Bad,31,18,No,No
10.64,102,87,10,346,Medium,64,15,Yes,Yes
10.44,124,115,16,458,Medium,62,16,No,Yes
10.66,104,71,14,89,Medium,25,14,No,Yes
4.53,129,42,13,315,Bad,34,13,Yes,Yes
8.19,127,103,0,125,Good,29,15,No,Yes
3.07,118,83,13,276,Bad,75,10,Yes,Yes
10.62,116,79,19,359,Good,58,17,Yes,Yes
7.64,128,78,0,341,Good,45,13,No,No
11.62,151,83,4,325,Good,28,17,Yes,Yes
6.87,128,105,11,249,Medium,63,13,Yes,Yes
4.96,133,100,3,350,Bad,55,13,Yes,Yes
7.56,108,26,0,408,Medium,56,14,No,No
11.91,133,82,0,54,Medium,50,17,Yes,No
4.94,137,112,15,434,Bad,66,13,Yes,Yes
6.52,128,42,0,436,Medium,80,11,Yes,No
5.58,137,71,0,402,Medium,78,17,Yes,No
6.81,132,61,0,263,Medium,41,12,No,No
9.4,135,40,17,497,Medium,54,17,No,Yes
8.77,144,63,11,27,Medium,47,17,Yes,Yes
5.87,131,73,13,455,Medium,62,17,Yes,Yes
7.81,104,99,15,226,Bad,58,17,Yes,Yes
6.41,142,30,0,472,Good,80,15,No,No
7.8,136,48,12,326,Medium,36,16,Yes,Yes
11.85,136,81,15,425,Good,67,10,Yes,Yes
12.44,127,90,14,16,Medium,48,15,No,Yes
16.27,141,60,19,319,Good,44,11,Yes,Yes
8.68,131,25,10,183,Medium,56,15,No,Yes
10.81,124,113,13,501,Bad,78,16,No,Yes
7.72,133,33,10,333,Good,71,14,Yes,Yes
10.51,140,54,9,402,Good,41,16,No,Yes
5.83,134,82,7,473,Bad,51,12,No,Yes
10.04,116,106,8,244,Medium,58,12,Yes,Yes
6.42,122,88,5,335,Medium,64,14,Yes,Yes
11.18,131,111,13,33,Bad,68,18,Yes,Yes
6.53,140,42,0,331,Bad,28,15,Yes,No
8.68,120,51,0,93,Medium,46,17,No,No
9.01,121,78,9,150,Bad,26,10,No,Yes
4.55,111,56,0,504,Medium,62,16,Yes,No
3.9,124,65,21,496,Bad,77,13,Yes,Yes
5.61,138,107,9,480,Medium,47,11,No,Yes
8.8,145,53,0,507,Medium,41,12,Yes,No
8.43,138,80,0,108,Good,70,13,No,Yes
8.97,132,107,0,144,Medium,33,13,No,No
